RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q,makat_dir
27071,71,2,ש.א.מ,קווי נצרת – שאמ,גולן גליל ועמקים,כפר כנא,כפר כנא,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,4,3.3,93.8,4.1,11,10.35,19.13,8.27,5,28,62.7,388.8,13.9,,,,,12.5,,,,,,,,,,,,,,9.4,,,ימי חול - 12:00-14:59,2024,2,27071-2
27080,80,2,אגד,חולון עירוני ומטרופוליני+תחרות חולון,גוש דן,אזור,חולון,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,6.5,39.3,1.2,15,20.19,19.32,15.29,1,6,8.0,45.5,7.6,,,8.0,,,,,,,5.5,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27080-2
27086,86,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,צפת,צפת,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,11.7,138.4,0.1,30,24.12,29.1,287.01,2,12,1.1,7.3,0.6,,,0.6,,,,,,,0.9,,,,,,,,,,,,שישי - 06:00-08:59,2024,2,27086-1
27086,86,2,נתיב אקספרס,הגליל,גולן גליל ועמקים,צפת,ביריה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,12.5,280.1,0.1,36,26.55,28.25,151.59,4,22,4.1,24.6,1.1,,,,,1.4,0.6,,,,,0.3,3.8,,,,,,,,,,שישי - 12:00-14:59,2024,2,27086-2
27087,87,1,אגד,חולון עירוני ומטרופוליני+תחרות חולון,גוש דן,אזור,חולון,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.8,6249.7,2.3,53,15.58,72.4,9.86,59,333,2641.0,14673.8,44.1,,0.1,47.2,39.3,78.4,43.9,24.9,,0.3,37.3,47.8,61.0,17.8,,,,,,,,12.9,ימי חול - 12:00-14:59,2024,2,27087-1
27087,87,2,אגד,חולון עירוני ומטרופוליני+תחרות חולון,גוש דן,חולון,אזור,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.9,7095.5,2.6,56,14.87,76.26,9.46,67,376,3284.7,18177.7,48.3,,21.7,54.4,41.7,73.9,43.6,47.3,,12.2,34.7,53.6,70.9,32.1,,,,,,,,21.4,ימי חול - 12:00-14:59,2024,2,27087-2
27088,88,1,קווים,חשמונאים,י-ם,מודיעין מכבים רעות,מודיעין מכבים רעות,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,14.0,83.8,1.2,35,24.24,34.65,12.6,1,6,19.0,99.0,16.5,,,19.0,,,,,,,4.0,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27088-1
27088,88,2,קווים,חשמונאים,י-ם,מודיעין מכבים רעות,מודיעין מכבים רעות,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,15.5,186.3,0.6,29,25.23,36.86,23.22,2,12,22.4,114.3,9.5,,,,,21.7,0.7,,,,,0.0,2.3,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,27088-2
27091,91,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,צפת,צפת,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,5,6.6,211.5,0.4,23,18.45,21.46,48.9,5,30,13.3,79.0,2.6,,,2.7,,,,,,,2.5,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27091-1
27091,91,2,נתיב אקספרס,הגליל,גולן גליל ועמקים,צפת,צפת,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,8.4,424.6,0.3,25,24.14,20.88,50.11,8,46,21.0,115.0,2.5,,,,,1.7,4.2,,,,,1.7,,,,,,,,,,,ימי חול - 15:00-18:59,2024,2,27091-2
27095,95,1,מועצה אזורית גולן,רמת הגולן,גולן גליל ועמקים,אל רום,חצור הגלילית,אזורי,מאסף,תלמידים,בינעירוני,אוטובוס,2,55.2,555.5,0.2,32,12.27,269.93,152.07,2,10,21.3,106.5,10.6,,,17.3,4.0,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27095-1
27095,95,2,מועצה אזורית גולן,רמת הגולן,גולן גליל ועמקים,חצור הגלילית,אל רום,אזורי,מאסף,תלמידים,בינעירוני,אוטובוס,2,56.4,507.3,0.1,30,13.86,244.16,207.63,2,9,12.7,63.5,7.1,,,,,8.3,4.4,,,,,,,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,27095-2
27096,96,1,סופרבוס,העמקים,מטרופולין חיפה,יקנעם עילית,יקנעם עילית,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,2.1,197.2,1.9,34,23.77,5.3,2.85,6,33,70.8,368.0,11.2,,,,,12.2,0.3,,,,,,4.7,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,27096-1
27096,96,2,סופרבוס,העמקים,מטרופולין חיפה,יקנעם עילית,יקנעם עילית,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,9.7,58.2,1.2,30,25.23,23.07,12.21,1,6,12.5,68.0,11.3,,,12.5,,,,,,,5.5,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27096-2
